onset	duration	nwb_table
1570396755.956	1812.0752999782562	epochs
1570398722.408	5408.765533447266	epochs
1570404245.019	1814.7608001232147	epochs
1570406164.512	5442.322433233261	epochs
1570411670.303	2057.334933280945	epochs
